Req ID,Requirement,SRS Requirement(s),FAD Component(s),SDD Component(s) / Implementation Evidence,ICD Interface(s),TST Verification(s),Status,Notes
MRS-014,The system may allow manual metadata enrichment.,SRS-010,FC-06;FC-11,hestia/api/routers/ingestion.py;hestia/application/ingestion.py,EXT-07,"TST-026,TST-027,TST-028",Fully Traced,Corrected this revision: MRS-014.yml records coverage=100; prior RTM revision stated 90%. No functional discrepancy found beyond the stale percentage.
MRS-015,The system shall parse documents into structurally meaningful units.,SRS-011,FC-06,hestia/infrastructure/parsers/;hestia/application/ingestion.py,EXT-07,"TST-026,TST-027,TST-028",Fully Traced,"Corrected this revision: MRS-015.yml records coverage=100; prior RTM revision stated 75% (SectionSplitter only, multimodal parser planned). SectionSplitter is confirmed the sole chunking implementation; MRS-015's own record treats this as fully satisfying the requirement as currently scoped."
MRS-016,The system shall preserve document hierarchy.,SRS-011,FC-06,hestia/application/ingestion.py;hestia/infrastructure/db/qdrant.py,N/A,"TST-026,TST-027,TST-028",Fully Traced,Chunks stored with next and previous IDs for sequential reconstruction
MRS-017,The system shall identify and extract tables as structured data.,SRS-011,FC-06;FC-11,hestia/infrastructure/parsers/,EXT-07,"TST-026,TST-027,TST-028",Fully Traced,"Corrected this revision: MRS-017.yml records coverage=100; prior RTM revision stated 75%. Tables are rendered as Markdown tables during parsing, confirmed in hestia/infrastructure/parsers/."
MRS-018,The system shall maintain traceability to source locations.,SRS-010,FC-06;FC-07;FC-08,hestia/domain/rag/chunk.py;hestia/infrastructure/db/qdrant.py,EXT-04;EXT-05,"TST-026,TST-027,TST-028",Fully Traced,
MRS-019,The system shall support configurable chunking strategies.,"SRS-008,SRS-012",FC-06,hestia/application/ingestion.py,N/A,"TST-026,TST-027,TST-028",Partially Traced,Coverage 50%; SectionSplitter only; configuration exposure planned with multimodal splitter
MRS-020,The system should preserve boundaries during chunking.,SRS-011,FC-06,hestia/application/ingestion.py,N/A,"TST-026,TST-027,TST-028",Fully Traced,SectionSplitter splits at structural section boundaries
MRS-021,The system may generate a document structural graph.,-,FC-06,hestia/application/ingestion.py,N/A,-,Not Implemented,Coverage 0%; Not implemented; planned
MRS-022,The system shall use only locally hosted AI models for all inference tasks — vector embeddings and text generation — with no external API calls.,"SRS-001,SRS-013",FC-06;FC-09;FC-13,hestia/infrastructure/llm/;hestia/config/settings.py,N/A,"TST-001,TST-043,TST-026,TST-029",Fully Traced,Merges MRS-023 and MRS-036
MRS-023,The system shall use on-premises embedding models.,-,FC-06;FC-13,hestia/infrastructure/llm/,N/A,-,Not Implemented,Inactive — merged into MRS-022
MRS-024,The system shall store embeddings in a vector-capable database.,"SRS-013,SRS-025",FC-06;FC-07,hestia/infrastructure/db/qdrant.py,N/A,"TST-026,TST-029,TST-043,TST-027,TST-028",Fully Traced,
MRS-025,The system shall associate embeddings with metadata.,SRS-013,FC-06;FC-07,hestia/infrastructure/db/qdrant.py;hestia/domain/rag/chunk.py,N/A,"TST-026,TST-029,TST-043",Fully Traced,
MRS-026,The system shall re-embed only modified units.,-,FC-06,hestia/application/ingestion.py,N/A,-,Not Implemented,Coverage 0%; Rejected — depends on MRS-011 (also rejected); per-document manual re-ingestion used instead
MRS-027,The system shall support hybrid retrieval.,SRS-024,FC-07,hestia/domain/rag/services.py;hestia/infrastructure/db/qdrant.py,EXT-05;EXT-04,TST-042,Fully Traced,Dense semantic + BM25 sparse retrieval
MRS-028,The system may support multiple embedding models.,SRS-013,FC-06;FC-13,hestia/infrastructure/llm/;hestia/config/settings.py,N/A,"TST-026,TST-029,TST-043",Not Implemented,Coverage 0%; Fixed to one model per collection at runtime
MRS-029,The system shall support natural-language queries.,SRS-014,FC-04;FC-05;FC-07;FC-08;FC-09,hestia/api/routers/chat.py;hestia/api/routers/generate.py,EXT-04,TST-030,Fully Traced,
MRS-030,The system shall retrieve relevant content semantically.,SRS-014,FC-07;FC-08,hestia/domain/rag/services.py;hestia/infrastructure/db/qdrant.py,EXT-04;EXT-05,TST-030,Fully Traced,
MRS-031,The system shall support metadata-based filtering.,-,FC-07,hestia/infrastructure/db/qdrant.py;hestia/domain/policies/guard.py,EXT-05,-,Partially Traced,Coverage 80%; policy filter applied internally; user-facing exposure partial
MRS-032,The system shall return citations with document location.,SRS-015,FC-07;FC-08,hestia/domain/rag/chunk.py;hestia/domain/rag/services.py,EXT-04;EXT-05,TST-030,Fully Traced,
MRS-033,The system shall expose retrieved context.,SRS-015,FC-07;FC-12,hestia/api/routers/search.py;hestia/domain/rag/services.py,EXT-05;EXT-04,TST-030,Fully Traced,Context available via API; hidden in web UI
MRS-034,The system should support structured queries.,-,FC-05;FC-12,hestia/domain/rag/graph.py,EXT-05,-,Partially Traced,Coverage 50%; infrastructure partially in place
MRS-035,The system may support query templates.,-,FC-05,hestia/domain/rag/templater.py,N/A,-,Not Implemented,Coverage 0%; Not implemented
MRS-036,The system shall support locally hosted LLM inference.,-,FC-09,hestia/infrastructure/llm/,N/A,-,Not Implemented,Inactive — merged into MRS-022
MRS-037,The system shall allow configuration of generation parameters.,SRS-016,FC-09,hestia/api/routers/generate.py;hestia/api/routers/chat.py,EXT-04,TST-029,Fully Traced,Not exposed via web UI; API only
MRS-038,The system shall restrict generation to retrieved content.,SRS-014,FC-08;FC-09,hestia/domain/rag/templater.py;hestia/domain/rag/graph.py,N/A,TST-030,Fully Traced,Enforced by YAML workflow templates; grounding built into augment node
MRS-039,"The system should support multiple interchangeable LLM backends, including fine-tuned model variants, without code changes.",SRS-013,FC-09,hestia/infrastructure/llm/;hestia/infrastructure/llm/protocol.py,N/A,"TST-026,TST-029,TST-043",Fully Traced,LLMProvider protocol; vLLM and Ollama adapters implemented
MRS-040,The system may integrate fine-tuned LLM or embedding models in place of general-purpose models.,-,FC-09,hestia/infrastructure/llm/,N/A,-,Not Implemented,Coverage 0%; Rejected — merged into MRS-039; models loaded via LLM provider interface
MRS-041,The system shall support programmatic DOCX modification.,-,N/A,hestia/infrastructure/parsers/docx.py,N/A,-,Not Implemented,Coverage 0%; Not implemented; beta scope
MRS-042,The system shall support placeholder and bookmark insertion.,-,N/A,N/A,N/A,-,Missing,Coverage 0%; Not implemented; beta scope
MRS-043,The system shall support table creation and modification.,-,N/A,N/A,N/A,-,Missing,Coverage 0%; Not implemented; beta scope
MRS-044,The system shall preserve styles during edits.,-,N/A,N/A,N/A,-,Missing,Coverage 0%; Not implemented; beta scope
MRS-045,The system should support template-based population.,-,N/A,N/A,N/A,-,Missing,Coverage 0%; Not implemented; beta scope
MRS-046,The system should support preview of changes.,-,FC-11,hestia/api/routers/ingestion.py,EXT-07,-,Not Implemented,Coverage 0%; Document parse preview exists via /api/parse; diff preview not implemented
MRS-047,The system may support tracked changes.,-,N/A,N/A,N/A,-,Missing,Coverage 0%; Not implemented; stable phase
MRS-048,The system shall support exact-text search.,-,FC-12,hestia/api/routers/search.py,EXT-05,-,Not Implemented,Coverage 0%; Keyword search exists at corpus level; in-document exact search not implemented
MRS-049,The system shall support semantic search within documents.,-,FC-07;FC-12,hestia/domain/rag/services.py,EXT-05,-,Not Implemented,Coverage 0%; Cross-corpus semantic search exists; in-document scoped search not implemented
MRS-050,The system shall locate tables by column content.,-,FC-07;FC-12,N/A,N/A,-,Not Implemented,Coverage 0%; Not implemented
MRS-051,The system should support cross-document comparison.,-,FC-07;FC-09,hestia/domain/rag/services.py,EXT-04,-,Partially Traced,Coverage 30%; LLM-based comparison only; programmatic comparison not implemented
MRS-052,The system shall support semantic content extraction.,-,FC-07,hestia/domain/rag/services.py,N/A,-,Not Implemented,Coverage 0%; Rejected — covered by MRS-049
MRS-053,The system shall support automated template population.,-,N/A,N/A,N/A,-,Missing,Coverage 0%; Not implemented; beta scope
MRS-054,The system shall support constrained rewriting.,-,FC-09,hestia/domain/rag/templater.py,N/A,-,Not Implemented,Coverage 0%; Not implemented
MRS-055,The system shall provide diff view of changes.,-,N/A,N/A,N/A,-,Missing,Coverage 0%; Not implemented; beta scope
MRS-056,The system shall require explicit user approval before committing inferred metadata and filing a document in the archiving pipeline.,-,FC-04,hestia/handler.py,N/A,-,Partially Traced,Coverage 70%; HITL gate for interactive archiving pipeline; partial implementation
MRS-057,The system may support consistency validation.,-,N/A,N/A,N/A,-,Missing,Coverage 0%; Not implemented
MRS-058,"The system shall orchestrate multi-step processing pipelines as directed acyclic graphs of typed nodes with inter-node data flow, per-step status tracking, and error handling.",SRS-017,FC-05,hestia/domain/rag/graph.py;hestia/templates/,N/A,"TST-030,TST-031",Fully Traced,Foundational workflow engine; YAML-defined DAGs with per-step status tracking
MRS-059,The system shall provide job status tracking.,-,FC-05,hestia/domain/rag/graph.py,N/A,-,Not Implemented,Inactive — subsumed by MRS-058
MRS-060,The system should support asynchronous processing.,SRS-023,FC-05;FC-06,hestia/main.py;hestia/application/ingestion.py,N/A,TST-041,Partially Traced,Coverage 50%; FastAPI async and ingestion async; workflow execution remains synchronous
MRS-061,The system may support scheduling or triggers.,-,N/A,N/A,N/A,-,Missing,Coverage 0%; Not implemented
MRS-062,The system shall enforce authentication.,"SRS-004,SRS-020",FC-01;FC-02,hestia/domain/auth/service.py;hestia/api/security.py;hestia/api/dependencies.py,EXT-01,"TST-004,TST-005,TST-006,TST-007,TST-008,TST-009,TST-010,TST-011,TST-013,TST-015,TST-012",Fully Traced,
MRS-063,The system shall enforce document-level authorization.,"SRS-005,SRS-008",FC-03,hestia/domain/policies/guard.py;hestia/infrastructure/db/qdrant.py,N/A,"TST-014,TST-015,TST-016,TST-017,TST-018,TST-022,TST-023,TST-024,TST-025,TST-040,TST-026,TST-027",Fully Traced,Classification filter injected into all Qdrant queries
MRS-064,"The system shall log access to and modifications of documents, collections, and system configuration, and shall provide an authorised administrator with the ability to query and export these logs.",SRS-027,FC-18,hestia/infrastructure/logging/audit.py;hestia/infrastructure/logging/middleware.py,N/A,"TST-037,TST-039",Fully Traced,Coverage 90%; all security events logged with correlation IDs
MRS-065,The system shall encrypt data at rest and in transit.,-,N/A,N/A,N/A,-,Not Implemented,Inactive — rejected; encryption delegated to deployment infrastructure
MRS-066,The system should support data retention policies.,-,FC-10;FC-18,hestia/infrastructure/db/user_repository.py,EXT-03,-,Partially Traced,Coverage 25%; conversation deletion only
MRS-067,"The system shall expose operational performance metrics, including request latency, throughput, active session count, queue depth, and error rates, to administrators.",-,FC-18;FC-19,hestia/api/routers/health.py,EXT-14,-,Partially Traced,Coverage 25%; basic liveness and readiness only; no latency or throughput metrics
MRS-068,The system shall support retrieval and generation tracing.,-,FC-18,hestia/infrastructure/logging/;hestia/domain/rag/graph.py,N/A,-,Partially Traced,Coverage 50%; debug-level logs only; not user-exposed
MRS-069,The system should support retrieval quality evaluation.,-,N/A,N/A,N/A,-,Missing,Coverage 0%; Not implemented; stable phase
MRS-070,The system may support human feedback mechanisms.,-,N/A,N/A,N/A,-,Missing,Coverage 0%; Not implemented; stable phase
MRS-071,The system shall support deployment via containers.,SRS-002,N/A,Dockerfile;docker-compose.yml,N/A,TST-002,Fully Traced,
MRS-072,The system shall support GPU acceleration.,SRS-028,N/A,hestia/infrastructure/llm/;docker-compose.yml,N/A,TST-038,Fully Traced,Via LLM server (vLLM or Ollama); not directly in application layer
MRS-073,The system should support horizontal scaling.,-,N/A,hestia/main.py,N/A,-,Partially Traced,Coverage 25%; SQLite write serialization limits horizontal scaling
MRS-074,The system may support Kubernetes-native patterns.,-,N/A,N/A,N/A,-,Missing,Coverage 0%; Not implemented
MRS-075,"The system shall import and export CMDB/asset inventory data in JSON, XLSX, and CSV formats.",-,FC-06,hestia/infrastructure/parsers/json.py;hestia/infrastructure/parsers/xlsx.py;hestia/infrastructure/parsers/csv.py,EXT-07,-,Partially Traced,Coverage 25%; parsing supported; CMDB schema mapping not implemented
MRS-076,The system shall map incoming asset fields to a normalized internal schema aligned with NIS2-required asset attributes and resolve terminology differences against the ontology registry.,-,FC-06,N/A,N/A,-,Not Implemented,Coverage 0%; Not implemented; depends on MRS-097 (ontology registry)
MRS-077,The system shall detect inconsistencies in asset data during ingestion.,-,N/A,N/A,N/A,-,Missing,Coverage 0%; Not implemented
MRS-078,The system shall analyze declared dependencies.,-,N/A,N/A,N/A,-,Missing,Coverage 0%; Not implemented
MRS-079,The system shall generate asset classification suggestions based on the ontology registry.,-,FC-09,N/A,N/A,-,Not Implemented,Coverage 0%; Not implemented
MRS-080,The system shall flag assets which classifications do not align with similar asset types.,-,N/A,N/A,N/A,-,Missing,Coverage 0%; Not implemented
MRS-081,The system should suggest potentially missing assets or dependencies based on similarity analysis and pattern recognition.,-,N/A,N/A,N/A,-,Missing,Coverage 0%; Not implemented
MRS-082,The system should map assets against applicable standard and regulation requirements.,-,N/A,N/A,N/A,-,Missing,Coverage 0%; Not implemented
MRS-083,The system should assess compliance gaps for selected requirements.,-,N/A,N/A,N/A,-,Missing,Coverage 0%; Not implemented
MRS-084,The system shall accept user queries in natural language.,SRS-014,FC-04;FC-05;FC-09,hestia/api/routers/chat.py;hestia/api/routers/generate.py,EXT-04,TST-030,Fully Traced,
MRS-085,The system shall accept user queries in common query syntax.,-,FC-04;FC-12,hestia/api/routers/search.py,EXT-05,-,Partially Traced,Coverage 75%; SQL-like and filtering DSL partially supported
MRS-086,The system shall provide dynamic and interactive data visualizations.,-,N/A,N/A,N/A,-,Missing,Coverage 0%; Not implemented; frontend scope
MRS-087,"The system shall process user input and produce responses in English, French, and German.","SRS-008,SRS-018",FC-09,hestia/infrastructure/llm/;hestia/domain/rag/templater.py,N/A,"TST-026,TST-027,TST-033",Fully Traced,LLM-driven; no explicit language detection layer in application
MRS-088,"The system shall comply with applicable EU AI Act obligations covering risk classification, technical documentation, human-oversight logging, and user transparency disclosures.",-,FC-18,hestia/infrastructure/logging/audit.py,N/A,-,Missing,"MRS-088.yml itself records coverage=0. Prior RTM's FC-18/audit-logging mapping addresses only the human-oversight-logging facet; risk classification, technical documentation, and user-transparency disclosures required by the EU AI Act have no FAD/SDD/ICD counterpart. See also MRS-104 (ISO/IEC 42001), which shares this gap."
MRS-089,The system shall be accessible remotely over a secure VPN connection without requiring outbound connectivity at the application level.,SRS-003,FC-01,hestia/config/settings.py;Dockerfile,N/A,TST-003,Fully Traced,VPN termination is deployment infrastructure responsibility
MRS-090,The system should evaluate whether a specified control or requirement is supported by the ingested ISMS documentation and return a structured coverage report with a coverage status and citations to relevant source passages.,-,FC-09,N/A,N/A,-,Not Implemented,Coverage 0%; Not implemented; beta scope
MRS-091,"The system may, for documentation gaps identified in a control coverage evaluation, generate improvement recommendations grounded in retrieved source passages.",-,FC-09,N/A,N/A,-,Not Implemented,Coverage 0%; Not implemented; beta scope
MRS-092,The system shall support at least 5 concurrent user sessions without significant degradation in response time.,-,FC-19,hestia/main.py;hestia/api/limiter.py,N/A,-,Missing,"No SRS or TST traces this NF requirement despite it being concretely testable; MRS-092.yml's own comment states the quantitative threshold is not formally verified and a stress test is pending. The previously cited SDD components (hestia/main.py, hestia/api/limiter.py) do not actually implement or bound concurrent-session capacity; api/limiter.py governs only the /login rate limit (docs/icd.md EXT-01), unrelated to this NFR. The only relevant fact is that FastAPI/Uvicorn's default async request handling permits multiple simultaneous connections; this is inherent platform behaviour, not a verified 5-concurrent-session SLO. No load/stress test exists anywhere in tests/ or tests_integration/. Recommend either a dedicated TST + SRS entry with a measured threshold, or downgrading MRS-092 to non-normative until verified."
MRS-093,"The system shall support the ingestion, storage, and efficient retrieval of at least 100 GB of documentation without functional limitations.",SRS-019,FC-06;FC-07,hestia/infrastructure/db/qdrant.py,N/A,TST-034,Fully Traced,
MRS-094,"The system may provide an ingestion interface for threat and vulnerability intelligence from IDPS-ESCAPE and SATRAP-DL, mapping threats and vulnerabilities to asset types in the CMDB.",-,FC-06,N/A,N/A,-,Not Implemented,Coverage 0%; Not implemented; CyFORT component maturity pending
MRS-095,The system may enable users to query threats and vulnerabilities associated with a selected asset or asset type.,-,FC-07;FC-09,N/A,N/A,-,Not Implemented,Coverage 0%; Not implemented
MRS-096,The system shall anonymize or pseudonymize all asset data received from external contributing entities prior to storage in the central database.,-,FC-06,N/A,N/A,-,Partially Traced,Coverage 25%; Not implemented; GDPR basis and pseudonymization method pending
MRS-097,"The system shall maintain a terminology and ontology registry for the asset management domain, defining asset types, NIS2-required attributes, and dependency relationships, and shall normalize incoming asset data against this registry at ingestion time.",-,N/A,N/A,N/A,-,Missing,Coverage 0%; Not implemented
MRS-098,"The system should inject relevant ontology context from the registry into the LLM prompt for asset management queries, constraining generated output to the standardized asset vocabulary, attribute names, and dependency schema.",-,FC-08,hestia/domain/rag/templater.py,N/A,-,Not Implemented,Coverage 0%; Not implemented; depends on MRS-097
MRS-099,"The system shall infer semantic metadata from document content using an LLM based on a pre-defined terminology, and present the inferred metadata to the user for validation before committing.",-,FC-09;FC-11,hestia/domain/rag/services.py,EXT-07,-,Partially Traced,Coverage 25%; inference not yet exposed as a structured pipeline flow
MRS-100,"The system shall, upon user approval of inferred metadata, place the document in a logical directory or collection determined by pre-defined classification rules applied to the approved metadata values.",-,FC-06,N/A,N/A,-,Not Implemented,Coverage 0%; Not implemented; depends on MRS-056 and MRS-099
MRS-101,"The system shall store a structured archival copy of each ingested document as a JSON envelope containing the document content representation and its committed metadata, separately from the vector index.",-,FC-06,N/A,N/A,-,Not Implemented,Coverage 0%; Not implemented
MRS-102,"The system shall provide an interactive archiving pipeline that sequences document ingestion, LLM metadata inference, user validation, metadata commit, and rule-based filing, exposing job status and supporting rejection and correction at the validation step.",-,FC-05;FC-06;FC-11,N/A,N/A,-,Not Implemented,Coverage 0%; Not implemented; integrates MRS-099;MRS-056;MRS-100;MRS-101
MRS-103,"The system shall provide integration interfaces for CyFORT components, including IDPS-ESCAPE and SATRAP-DL for threat intelligence ingestion, CS-GRAM for regulatory standards, and C5-DEC for SSDLC artefact alignment, each defining data exchange format, direction, and protocol.",-,N/A,N/A,N/A,-,Missing,Coverage 0%; Not implemented; per-component interfaces to be detailed as components mature
MRS-104,"The system should be developed and operated in conformance with applicable ISO/IEC 42001 obligations, covering AI system documentation, risk assessment, and human oversight provisions.",-,N/A,N/A,N/A,-,Missing,"No FAD/SDD/ICD artifact addresses ISO/IEC 42001 AI-management-system documentation, risk assessment, or human-oversight provisions. Conditional on certification pursuit per MRS-104.yml; currently entirely untraced."
MRS-105,The system's deployment shall comply with applicable NIS2 obligations for the operators it serves. A compliance assessment shall be conducted to identify which NIS2 measures apply to the deployment context and map them to corresponding system or operational controls.,-,N/A,N/A,N/A,-,Missing,No FAD/SDD/ICD artifact or compliance-assessment record exists for NIS2 Art. 21 obligations mapping. Untraced.
MRS-106,"The system's deployment guide shall mandate encrypted storage for all databases and encrypted transport between components, and shall specify the minimum required controls. Operator confirmation of compliance shall be a prerequisite for production deployment.",-,N/A,"docs/sdd.md section 8.4, 8.7",N/A,-,Contradiction,"MRS-106 requires the deployment guide to mandate encrypted storage for all databases and encrypted transport between components, with operator confirmation of compliance as a go-live prerequisite. docs/sdd.md section 8.4 documents that hestia/infrastructure/db/llm_settings_repository.py and hestia/infrastructure/db/auth_settings_repository.py store every connection API key, the JWT signing key, the OIDC client secret, and the LDAP bind password as plaintext columns in users.db, with no field-level encryption; section 8.7 documents that backend-to-LLM/Qdrant/LDAP/OIDC transport encryption is not enforced or defaulted (HttpClient accepts whatever scheme is configured). No deployment guide gate, operator attestation step, or documented minimum-control checklist exists anywhere in README.md, docker-compose.yml, or Dockerfile. This is a direct requirement-vs-documented-state contradiction, not merely an absence of implementation."
MRS-107,The system shall comply with applicable GDPR obligations arising from its processing activities. A data protection assessment shall be conducted to determine which obligations apply and the required technical and organisational measures.,-,N/A,N/A,N/A,-,Partially Traced,"docs/scd.md carries a full narrative GDPR obligations table (MRS-GDPR-001 through 012 with article citations) satisfying part of the data protection assessment intent, but this is not carried into FAD/SDD/ICD and no SRS was raised from it. See MRS-GDPR-* rows below for the per-obligation breakdown."
MRS-109,"The system's audit logs shall be tamper-evident and shall support extraction of a complete structured audit record scoped by time window, principal, or resource by an authorised administrator.",-,FC-18;FC-25,hestia/infrastructure/logging/audit.py;hestia/infrastructure/logging/query.py,EXT-13,-,Partially Traced,"The structured-extraction-scoped-by-time/principal/resource half is satisfied: FC-25/EXT-13 (GET /admin/logs) filters by level/search/since/until and exports NDJSON/CSV. The tamper-evident half is NOT implemented: system.log/audit.log (hestia/infrastructure/logging/config.py) are plain, rotated JSON-line files with standard filesystem permissions only; no hash-chaining, cryptographic signing, append-only/WORM storage, or external log-shipping exists. No SRS or TST covers either half of this requirement explicitly (SRS-027/TST-037/TST-039 cover audit event coverage, not extraction or tamper-evidence)."
MRS-110,"The system shall undergo a security review prior to each major release, covering at minimum authentication controls, authorization enforcement, and input validation of all external-facing endpoints. A review report shall be produced and open findings resolved or formally accepted before release.",-,N/A,N/A,N/A,-,Partially Traced,"No SRS/TST/FAD/SDD component exists for a formalized per-release security review process (expected scope: JWT handling, access-policy bypass, upload validation, multi-tenant isolation). Ad hoc reviews covering exactly this scope have been produced during this engagement (reviews/hestia_v2-backend-review-2026-05-21.md; reviews/sdd-production-readiness-review-2026-09-09.md) but are not tied to a release gate, are not repeatable/scheduled, and produced no formal accept/reject sign-off record. Recommend formalizing as a release-gate checklist referencing the existing review documents as the template."
MRS-GDPR-001,The system shall support lawful processing of personal data in compliance with applicable GDPR obligations. This requirement is fulfilled through the combination of a Data Processing Agreement and the technical capabilities defined in MRS-GDPR-002 through MRS-GDPR-012.,-,N/A,N/A,N/A,-,Partially Traced,"Parent requirement, fulfilled primarily via a Data Processing Agreement (contractual control, outside SDD/code scope) plus the aggregate technical measures in MRS-GDPR-002 through 012 below."
MRS-GDPR-002,"The system shall ensure that only the data necessary for the defined processing purpose are collected, stored, and transmitted.",-,N/A,N/A,N/A,-,Partially Traced,"No formal data-minimisation review has been conducted or documented; the ingested-document/user-profile schema (hestia/infrastructure/db/user_repository.py) does not collect data obviously beyond processing purpose, but this is incidental, not the result of a documented minimisation control."
MRS-GDPR-003,The system shall maintain personal data in an accurate and up-to-date state in cooperation with the controller.,-,FC-02,hestia/api/routers/account.py,EXT-02,-,Partially Traced,PATCH /account/password and the account profile view let a user correct their own credentials; no broader data-accuracy mechanism (e.g. profile field correction workflow) exists.
MRS-GDPR-004,The system shall support the controller in enforcing retention limits and secure deletion of personal data when no longer required.,-,FC-10;FC-06,hestia/infrastructure/db/user_repository.py,EXT-03;EXT-07,-,Partially Traced,"Conversation/message deletion (EXT-03) and collection/document deletion (EXT-07) exist as manual operator/user actions; no automated retention-policy engine or scheduled expiry exists anywhere in the codebase (confirmed absent, docs/sdd.md section 11.4/12)."
MRS-GDPR-005,"The system shall preserve the confidentiality, integrity, and availability of personal data through appropriate technical and organisational measures, including the ability to detect security events affecting personal data.",-,FC-18,hestia/infrastructure/logging/audit.py,EXT-13,-,Partially Traced,"Audit logging (FC-18) passively records security-relevant events; there is no active security-event detection/alerting layer (confirmed absent, docs/sdd.md section 11.3). Detection here means a human can find it in the logs afterward, not real-time alerting."
MRS-GDPR-006,"The system shall ensure that access to personal data is restricted to authorised users and processes acting under the controller's authority, and shall ensure that such access is logged and auditable.","SRS-004,SRS-005,SRS-027",FC-02;FC-03;FC-14;FC-18,hestia/domain/auth/;hestia/domain/policies/guard.py;hestia/infrastructure/logging/audit.py,EXT-01;EXT-09;EXT-13,"TST-004,TST-014,TST-015,TST-016,TST-017,TST-037",Fully Traced,"RBAC (FC-02/03/14) restricts access to authorised users/processes and audit logging (FC-18) makes that access auditable; this GDPR obligation is substantively the same claim as MRS-003/MRS-062/MRS-063/MRS-064, which already trace cleanly."
MRS-GDPR-007,The system shall enable the controller to demonstrate compliance with applicable data-protection obligations through documentation and auditable records.,-,N/A,N/A,N/A,-,Partially Traced,"This RTM plus docs/fad.md, docs/sdd.md, docs/icd.md, and docs/scd.md collectively constitute much of the documentary record an accountability claim would rely on, but no systematic Article 30 processing-record or compliance-evidence repository exists inside the product itself."
